,acct_no,dba,owner,sic_code,sic_desc,full_addr,st_no,st_name,even,zipcode,city,apn_sort,dist_parc_to_sales
10531,196875,NURBURG IMPORTS,"GAYTAN, CARLOS",,,"821 75TH AVE OAKLAND, CA 94621-2937",821,75TH AVE,False,94621,OAKLAND,041 417300501,15.321400063102
10532,196878,GRIZZLY PEAK FARMS LLC,"YAMASHITA, MILES",,,"200 HEGENBERGER RD OAKLAND, CA 94621-1410",200,HEGENBERGER RD,True,94621,OAKLAND,044 502000118,32.0491389657843
10533,196880,ETERNITY HEALING LLC,"SHELBY, PRINCE",,,"200 HEGENBERGER RD OAKLAND, CA 94621-1410",200,HEGENBERGER RD,True,94621,OAKLAND,044 502000118,32.0491389657843
10534,196888,XPRESS SMOG DEPOT,"JUNG, LYMAN",,,"3750 INTERNATIONAL BLVD OAKLAND, CA 94601-3526",3750,INTERNATIONAL BLVD,True,94601,OAKLAND,033 213606501,8.61912876741074
10535,196932,NORCAL CLEANING SOLUTIONS,"GONZALEZ, JOSE",7349001.0,"Building Cleaning And Maintenance Services, Not Elsewhere Classified","10037 BERNHARDT DR OAKLAND, CA 94603-2039",10037,BERNHARDT DR,False,94603,OAKLAND,045 531303300,0.0
10536,196933,LILLARD HOUSTON JR,"HOUSTON, LILLARD",6513001.0,Operators Of Apartment Buildings,"9836 SPRINGFIELD ST OAKLAND, CA 94603-2824",9836,SPRINGFIELD ST,True,94603,OAKLAND,046 547701500,0.0
10537,196943,MARKET ONE,"ABDALLA, FATIMA",5411001.0,Grocery Stores,"3301 E 12TH ST STE 131 OAKLAND, CA 94601-3424",3301,E 12TH ST,False,94601,OAKLAND,034 226400100,12.273599710476901
10538,196944,FREEWAY MECHANICAL,"GRAY, HEZEKIAH K",1542001.0,"General Contractors-nonresidential Buildings, Other Than Industrial Buildings And Warehouses","2229 108TH AVE OAKLAND, CA 94603-4012",2229,108TH AVE,False,94603,OAKLAND,047 556601400,0.0
10539,196960,RELIANCE DETAILING,"SOTOMAYOR URIAS, EMANUEL",7542001.0,Carwashes,"1815 94TH AVE OAKLAND, CA 94603-1611",1815,94TH AVE,False,94603,OAKLAND,046 544601802,0.383646820690784
10540,196972,HANDZ NATURAL HAIR DESIGN,"HUDLEY, DEBRA L",7231001.0,Beauty Shops,"4411 FOOTHILL BLVD OAKLAND, CA 94601-4623",4411,FOOTHILL BLVD,False,94601,OAKLAND,035 240200301,3.89012544774418
10541,196974,CHANG CHENG CO,"HUANG, CHENG",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","2125 26TH AVE OAKLAND, CA 94601-1827",2125,26TH AVE,False,94601,OAKLAND,026 074400700,0.269807209727231
10542,196996,STEMOS,"EKENS, LAJU",5999001.0,"Miscellaneous Retail Stores, Not Elsewhere Classified","10950 INTERNATIONAL BLVD OAKLAND, CA 94603-3865",10950,INTERNATIONAL BLVD,True,94603,OAKLAND,047 559600401,9.182102791352099
10543,196997,GARCIA PRODUCE,"GARCIA, HOMERO U",,,"4559 INTERNATIONAL BLVD OAKLAND, CA 94601-4506",4559,INTERNATIONAL BLVD,False,94601,OAKLAND,034 225300500,10.1147466006433
10544,197000,TAMALES CRISTINA #2,"ABREGO, CRISTINA",5812001.0,Eating Places,"5324 FOOTHILL BLVD OAKLAND, CA 94601-5514",5324,FOOTHILL BLVD,True,94601,OAKLAND,035 237800700,0.0
10545,197020,INTER UNITED ACADEMY,"ESPINOZA, MARIO A",,,"1637 FRUITVALE AVE OAKLAND, CA 94601-2418",1637,FRUITVALE AVE,False,94601,OAKLAND,025 072201300,19.2576988012088
10546,197023,HECTOR PRODUCE,"AVALOS-DEL TORO, HECTOR",5149001.0,"Groceries And Related Products, Not Elsewhere Classified","3015 E 17TH ST OAKLAND, CA 94601-2416",3015,E 17TH ST,False,94601,OAKLAND,025 072200700,0.0
10547,197047,AMELIA STREET VENTURES LLC,"POST, Jason",,,"8430 AMELIA ST OAKLAND, CA 94621-1836",8430,AMELIA ST,True,94621,OAKLAND,042 430200201,5.42599843006523
10548,197055,ASV EQ 2 LLC,"POST, JASON",,,"8430 AMELIA ST OAKLAND, CA 94621-1836",8430,AMELIA ST,True,94621,OAKLAND,042 430200201,5.42599843006523
10549,197059,PENAS HANDYMAN SERVICES,"PENA, AURELIO",,,"1478 74TH AVE OAKLAND, CA 94621-2822",1478,74TH AVE,True,94621,OAKLAND,040 331907402,9.040534693338131
10550,197111,ELEMENO HEALTH INC,"BURMAN, ARUP R",7379001.0,"Computer Related Services, Not Elsewhere Classified","2910 FORD ST D OAKLAND, CA 94601-2821",2910,FORD ST,True,94601,OAKLAND,025 067200100,6.31954017833341
10551,197117,BOLDEN LEONARD & YOZETTE A,"BOLDEN, LEONARD",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"3920 AQUA VISTA ST OAKLAND, CA 94601-4316",3920,AGUA VISTA ST,True,94601,OAKLAND,032 210401200,8.60008542784163
10552,197123,H-P COLORS,"PHAM, HANH",,,"1624 51ST AVE OAKLAND, CA 94601-5237",1624,51ST AVE,True,94601,OAKLAND,035 236201600,5.7070692384116795
10553,197135,M T LINDSEY CONSULTING,"LINDSEY, MARCO",8748001.0,"Business Consulting Services, Not Elsewhere Classified","9201 BANCROFT AVE APT 8 OAKLAND, CA 94603-1870",9201,BANCROFT AVE,False,94603,OAKLAND,046 547000401,16.2268488033815
10554,197157,STAR PRISTINE CLEANING SERVICES,"BENSON, STARKISHA",,,"3574 DAVIS ST APT B OAKLAND, CA 94601-3838",3574,DAVIS ST,True,94601,OAKLAND,032 211001202,4.125408587662649
10555,197175,MONARCA'S FITNESS,"SONANO, ANA LILIA VITAL",,,"8601 INTERNATIONAL BLVD OAKLAND, CA 94621-1551",8601,INTERNATIONAL BLVD,False,94621,OAKLAND,043 455301301,9.239586759327072
10556,197188,MELECIO COX JUAREZ,"JUAREZ, MELECIO C",,,"5732 E 15TH ST OAKLAND, CA 94621-4231",5732,E 15TH ST,True,94621,OAKLAND,038 323500101,2.61039662986778
10557,197191,FREDDIE ENRIQUE BARAHONA & KARLA MARIE BARAHONA,"BARAHONA, FREDDIE E",,,"10306 PIPPIN ST OAKLAND, CA 94603-3034",10306,PIPPIN ST,True,94603,OAKLAND,045 523301300,0.4483220519629671
10558,197201,TRANSCO LEASING CO INC,"THOMPSON, DAVID(PRES) A",,,"8099 S COLISEUM WAY OAKLAND, CA 94621-1937",8099,S COLISEUM WAY,False,94621,OAKLAND,042 432800202,24.7555118554496
10559,197206,BAY AREA PALLETS,"GARCIA, JORGE G",,,"1025 47TH AVE OAKLAND, CA 94601-5113",1025,47TH AVE,False,94601,OAKLAND,034 226000400,2.8372258903691203
10560,197209,LA FORTALEZA,"ABARCA, PATRICIA",7991001.0,Physical Fitness Facilities,"5834 INTERNATIONAL BLVD OAKLAND, CA 94621-4229",5834,INTERNATIONAL BLVD,True,94621,OAKLAND,038 323401302,4.9374444619442
10561,197213,EAST 10TH COLLECTIVE LLC,"MUTUKISNA, TARA",,,"3100 E 10TH ST OAKLAND, CA 94601-2988",3100,E 10TH ST,True,94601,OAKLAND,025 069300702,13.449934742816401
10562,197216,VISUALIZING CHANGE,"LARSEN, CHANDRA",8742001.0,Management Consulting Services,"2568 BEST AVE OAKLAND, CA 94601-5508",2568,BEST AVE,True,94601,OAKLAND,036 247300100,0.685323411262805
10563,197220,DILLON SHAWN,"DILLON, SHAWN",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"2314 E 20TH ST OAKLAND, CA 94601-1109",2314,E 20TH ST,True,94601,OAKLAND,021 025101700,12.621500708792501
10564,197223,LI YANJUAN,"LI, YANJUAN",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"320 CATRON DR OAKLAND, CA 94603-3618",320,CATRON DR,True,94603,OAKLAND,045 537601502,0.0
10565,197245,STANDARD PLUMBING SUPPLY COMPANY INC,REESE FAMILY TR,5074001.0,Plumbing And Heating Equipment And Supplies (hydronics),"1055 SEMINARY AVE OAKLAND, CA 94621-3945",1055,SEMINARY AVE,False,94621,OAKLAND,041 391400801,10.0997229152246
10566,197249,AQUA VISTA TRUST,"LEE FERGUSON, TUYANNE NICOLE M",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"3818 AQUA VISTA ST OAKLAND, CA 94601-4314",3818,AGUA VISTA ST,True,94601,OAKLAND,032 210500100,4.893336396369589
10567,197260,BAY AREA WRAPS GODS,"BOB, TARIK",,,"780 105TH AVE OAKLAND, CA 94603-3698",780,105TH AVE,True,94603,OAKLAND,045 524800502,4.81009144528368
10568,197266,NOELLE AVERY,"AVERY, NOELLE",,,"2040 55TH AVE OAKLAND, CA 94621-4349",2040,55TH AVE,True,94621,OAKLAND,035 239100700,1.02930056636622
10569,197269,INFINITE TRAVEL GROUP LLC,"SAVITSKAYA, ALINA",,,"433 HEGENBERGER RD STE 206 OAKLAND, CA 94621-1448",433,HEGENBERGER RD,False,94621,OAKLAND,042 442501207,4.508578940081519
10570,197271,HUANG KATIE & WU DEFU,"HUANG, KATIE",,,"2372 E 24TH ST OAKLAND, CA 94601-1253",2372,E 24TH ST,True,94601,OAKLAND,026 078002301,5.69342912634824
10571,197273,CORNELIO'S FRIENDLY GARDENING,"ESCOBEDO, CORNELIO",,,"2372 E 15TH ST APT 1 OAKLAND, CA 94601-1037",2372,E 15TH ST,True,94601,OAKLAND,020 015800800,7.70046834617191
10572,197274,MAGDALENA FLOWER SHOP,"SOLIS, LIDIA O",,,"3340 E 12TH ST STE 14 OAKLAND, CA 94601-3460",3340,E 12TH ST,True,94601,OAKLAND,034 226400100,12.273599710476901
10573,197275,EUREKA VENTURES III LLC,"BACON JR, JOHN W",,,"6315 SAN LEANDRO ST OAKLAND, CA 94621-3727",6315,SAN LEANDRO ST,False,94621,OAKLAND,041 391600300,0.0
10574,197277,EUREKA VENTURES II LLC,"BACON JR, JOHN W",6512001.0,Operators Of Nonresidential Buildings,"6233 SAN LEANDRO ST OAKLAND, CA 94621-4422",6233,SAN LEANDRO ST,False,94621,OAKLAND,041 391600202,0.0
10575,197278,URIAS JR AUTO SHOP,"BRUNO, NANCY",7538001.0,General Automotive Repair Shops,"8332 INTERNATIONAL BLVD OAKLAND, CA 94621-1876",8332,INTERNATIONAL BLVD,True,94621,OAKLAND,043 455101400,1.7226097739011699
10576,197280,77 DISCOUNT MARKET,"SENAN, SALAN",5411001.0,Grocery Stores,"7618 INTERNATIONAL BLVD OAKLAND, CA 94621-2728",7618,INTERNATIONAL BLVD,True,94621,OAKLAND,040 332103700,2.17102131042618
10577,197285,STICKY RICE CAFE,"PUNTURATH, SIRIPHEN",5812036.0,Restaurants,"2810 INTERNATIONAL BLVD OAKLAND, CA 94601-1516",2810,INTERNATIONAL BLVD,True,94601,OAKLAND,025 071402200,6.12208753500498
10578,197289,MAR CON CO,"MANRIQUEZ, MARCO",1541001.0,General Contractors-industrial Buildings And Warehouses,"8108 CAPWELL DR A OAKLAND, CA 94621-2143",8108,CAPWELL DR,True,94621,OAKLAND,042 442500401,9.82854523954126
10579,197305,JAMES N BOBBY PAUL MOBILE DETAILING SERVICES,"PAUL, JAMES",,,"1615 SUNSHINE CT OAKLAND, CA 94621-2841",1615,SUNSHINE CT,False,94621,OAKLAND,040 331908900,0.0
10580,197320,MICHAEL MCGINLEY,"MCGINLEY, MICHAEL",,,"414 29TH AVE UNIT 1 OAKLAND, CA 94601-2106",414,29TH AVE,True,94601,OAKLAND,025 067600900,5.06261754463983
10581,197330,DICKENS DAVINA A,"DICKENS, DAVINA",,,"7800 LOCUST ST OAKLAND, CA 94621-2638",7800,LOCUST ST,True,94621,OAKLAND,040 335504201,11.698997694054801
10582,197342,PIOUS PETROLEUM LLC,"PATEL, NILESHKUMAR",,,"4280 FOOTHILL BLVD OAKLAND, CA 94601-4644",4280,FOOTHILL BLVD,True,94601,OAKLAND,035 235200801,12.7705460709908
10583,197369,DRAWBRIDGE CELLARS,"MARZOLF, WAYNE",,,"2811 CHAPMAN ST A OAKLAND, CA 94601-2111",2811,CHAPMAN ST,False,94601,OAKLAND,019 008000900,26.0209240634856
10584,197374,NOOR AUTO,"ISRAR, MUHAMMAD",,,"3901 SAN LEANDRO ST OAKLAND, CA 94601-4039",3901,SAN LEANDRO ST,False,94601,OAKLAND,033 216800300,14.498993462286599
10585,197381,EDDIE COLLA,"NGUYEN, LORETTA",7336001.0,Commercial Art And Graphic Design,"5733 SAN LEANDRO ST STE 4 OAKLAND, CA 94621-4426",5733,SAN LEANDRO ST,False,94621,OAKLAND,041 391400801,4.80731887161441
10586,197424,VICTOR JOHN A & MARIA TR,"VICTOR, JOHN",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"1000 39TH AVE OAKLAND, CA 94601-4029",1000,39TH AVE,True,94601,OAKLAND,033 216800300,14.498993462286599
10587,197429,BAYVIEW INSULATION SERVICES INC,"CLEVELAND, RICHARD G",,,"6925 SAN LEANDRO ST OAKLAND, CA 94621-3320",6925,SAN LEANDRO ST,False,94621,OAKLAND,041 406000800,0.0
10588,197459,CORONADO JULIO C,"CORONADO, JULIO C",,,"936 37TH AVE OAKLAND, CA 94601-3434",936,37TH AVE,True,94601,OAKLAND,033 217901700,0.294431703136674
10589,197464,TOCHEN ASAD,"ASAD, TOCHEN",6513001.0,Operators Of Apartment Buildings,"1627 94TH AVE OAKLAND, CA 94603-1513",1627,94TH AVE,False,94603,OAKLAND,046 543401900,0.940963685710753
10590,197471,MENDOZA CLEANING SERVICES,"MENDOZA, FAUSTINA",,,"2512 FOOTHILL BLVD OAKLAND, CA 94601-1139",2512,FOOTHILL BLVD,True,94601,OAKLAND,020 020404600,0.0
10591,197473,RAGAN FLOORING CENTER,"KIM, JASON",8748001.0,"Business Consulting Services, Not Elsewhere Classified","8393 CAPWELL DR STE 100 OAKLAND, CA 94621-2123",8393,CAPWELL DR,False,94621,OAKLAND,042 442502700,0.0
10592,197480,FRUTAS SAN JUAN,"HERNANDEZ, MICAELA",,,"4559 INTERNATIONAL BLVD OAKLAND, CA 94601-4506",4559,INTERNATIONAL BLVD,False,94601,OAKLAND,034 225300500,10.1147466006433
10593,197481,TACOTITLAN,"TITLA, MIRIAM",,,"4745 INTERNATIONAL BLVD OAKLAND, CA 94601-5209",4745,INTERNATIONAL BLVD,False,94601,OAKLAND,034 225500101,15.4722113590804
10594,197482,DEL TORO PRODUCE,"DEL TORO, ISMAEL",4789001.0,"Transportation Services, Not Elsewhere Classified","1652 100TH AVE OAKLAND, CA 94603-2615",1652,100TH AVE,True,94603,OAKLAND,047 551401500,4.20333053712257
10595,197483,TAQUERIA LA PERLA,"MEDINA, SAUL",,,"9820 LYNDHURST ST OAKLAND, CA 94603-2138",9820,LYNDHURST ST,True,94603,OAKLAND,045 530405500,0.0
10596,197491,ELIZABETH'S CLEANING SERVICES,"SORTO, ELIZABETH",,,"2023 CROSBY AVE OAKLAND, CA 94601-3604",2023,CROSBY AVE,False,94601,OAKLAND,032 211600200,0.0
10597,197501,NORTH CA TRANSPORTATION,"OBAID, JAMAL A",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","7114 ORRAL ST OAKLAND, CA 94621-3138",7114,ORRAL ST,True,94621,OAKLAND,039 330903700,0.18256006786161702
10598,197512,SO OAKLAND COLLECTIVE,"JAMERSON, SHAYLA",,,"2915 E 23RD ST OAKLAND, CA 94601-2511",2915,E 23RD ST,False,94601,OAKLAND,026 075002401,0.0
10599,197519,SEE JANE THRIFT,"EASTLAND, KATHLEEN",,,"1066 47TH AVE 18 OAKLAND, CA 94601-5158",1066,47TH AVE,True,94601,OAKLAND,034 226000301,4.37028564794324
10600,197529,CALI PALM TREEZ,"HOLMES, MARK",5963001.0,Direct Selling Establishments,"1146 85TH AVE OAKLAND, CA 94621-1602",1146,85TH AVE,True,94621,OAKLAND,042 426101800,10.5652098248201
10601,197538,ROYAL MOON T3,"MACK, TIA",,,"7400 RUDSDALE ST D OAKLAND, CA 94621-2918",7400,RUDSDALE ST,True,94621,OAKLAND,041 418903502,11.497130826403101
10602,197544,BAY AREA SHIPPING,"HARBI, ABULMALIK",7334007.0,Photocopying Service,"3347 FOOTHILL BLVD OAKLAND, CA 94601-3114",3347,FOOTHILL BLVD,False,94601,OAKLAND,033 211800400,4.4839464973618295
10603,197549,RACHEL LOWY CONSULTING,"LOWY, RACHEL",,,"2912 E 17TH ST OAKLAND, CA 94601-2415",2912,E 17TH ST,True,94601,OAKLAND,025 072400900,0.8420325999418509
10604,197588,PARALEGALS ON DEMAND,"LOVE, TERRELL",,,"2424 FOOTHILL BLVD 5 OAKLAND, CA 94601-1013",2424,FOOTHILL BLVD,True,94601,OAKLAND,020 020405700,0.0
10605,197591,UTEAGA EULOGIO & VILMA,"URTEAGA, EULOGIO J",,,"10206 INTERNATIONAL BLVD OAKLAND, CA 94603-3206",10206,INTERNATIONAL BLVD,True,94603,OAKLAND,047 551701802,4.617443664048009
10606,197592,J'S CLEANING SERVICE,"CALZADA, LIDIA I",,,"1141 76TH AVE OAKLAND, CA 94621-2517",1141,76TH AVE,False,94621,OAKLAND,041 413901101,0.0
10607,197602,YEH YULING TRUST,"YEH, YU-LING",6513001.0,Operators Of Apartment Buildings,"2911 E 16TH ST OAKLAND, CA 94601-2339",2911,E 16TH ST,False,94601,OAKLAND,025 072102601,1.46472394323035
10608,197618,BEL'S HOUSE CLEANING,"POMARES, BELEN",,,"2507 E 27TH ST OAKLAND, CA 94601-1305",2507,E 27TH ST,False,94601,OAKLAND,026 078500100,3.88839923339304
10609,197621,SUSANNE TAN,"TAN, SUSANNE",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"10985 MOONLIGHT CT OAKLAND, CA 94603-1672",10985,MOONLIGHT CT,False,94603,OAKLAND,047 559601400,0.0
10610,197634,JB'S GARDENING SERVICES,"BROWN, JARRETT V",,,"2493 RAWSON ST OAKLAND, CA 94601-5523",2493,RAWSON ST,False,94601,OAKLAND,036 247303300,0.0
10611,197643,LAVOMATIC LAVANDERIA,"SEELAM, JAISIMHA",,,"7103 INTERNATIONAL BLVD OAKLAND, CA 94621-3205",7103,INTERNATIONAL BLVD,False,94621,OAKLAND,039 331003101,20.389724435753397
10612,197651,CORDOVA'S CLEANING HOUSE,"MARTINEZ, ALBA MARINA CORDOVA",,,"1159 79TH AVE OAKLAND, CA 94621-2505",1159,79TH AVE,False,94621,OAKLAND,041 421100103,2.99767949034936
10613,197668,ANTOJITOS NICARAGUENSE,"PEREZ, MARCIA",,,"2063 AUSTIN ST OAKLAND, CA 94601-2519",2063,AUSTIN ST,False,94601,OAKLAND,026 074900400,0.0
10614,197669,VM MOTORS,"CONTRERAS, ELIANA J",5521001.0,Motor Vehicle Dealers (used Only),"9351 EDES AVE OAKLAND, CA 94603-1143",9351,EDES AVE,False,94603,OAKLAND,042 431301000,13.6555677072454
10615,197680,LYONS LIQUOR INC,"Ali, Fuad H",5921001.0,Liquor Stores,"4100 FOOTHILL BLVD OAKLAND, CA 94601-4241",4100,FOOTHILL BLVD,True,94601,OAKLAND,032 207902001,16.319289662329997
10616,197686,DARK HEART NURSERY,"GRACE, DANIEL",,,"401 ROLAND WAY STE 130 OAKLAND, CA 94621-2034",401,ROLAND WAY,False,94621,OAKLAND,042 454800200,13.8455741605266
10617,197687,GURJINDER KAUR,"KAUR, GURJINDER",5065001.0,"Electronic Parts And Equipment, Not Elsewhere Classified","5401 COLISEUM WAY OAKLAND, CA 94601-5021",5401,COLISEUM WAY,False,94601,OAKLAND,034 234101100,18.173726141506698
10618,197689,GUMS APRIL,"GUMS, APRIL",6513001.0,Operators Of Apartment Buildings,"1223 82ND AVE OAKLAND, CA 94621-2431",1223,82ND AVE,False,94621,OAKLAND,042 424702600,2.10082793375797
10619,197693,HEALTHY GO LUCKY,"BOVELL, SEAN",5999001.0,"Miscellaneous Retail Stores, Not Elsewhere Classified","1227 76TH AVE OAKLAND, CA 94621-2731",1227,76TH AVE,False,94621,OAKLAND,041 419300800,0.0
10620,197696,THERESA GARIBAY NAVARRO,"NAVARRO, THERESA G",6513001.0,Operators Of Apartment Buildings,"1165 83RD AVE OAKLAND, CA 94621-1807",1165,83RD AVE,False,94621,OAKLAND,042 425001200,0.0
10621,197716,MAGANA CONSTRUCTION COMPANY,"BEJINES, JOSE C",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","2250 96TH AVE OAKLAND, CA 94603-1932",2250,96TH AVE,True,94603,OAKLAND,046 547501705,4.33441341510274
10622,197724,BARNETT CONSTRUCTION,"BARNETT, DAVID C",1541001.0,General Contractors-industrial Buildings And Warehouses,"5452 BANCROFT AVE APT 107 OAKLAND, CA 94601-5839",5452,BANCROFT AVE,True,94601,OAKLAND,035 238900700,9.119596970954198
10623,197728,HOMETOWN HEART,"SCHNEIDER, MARTIN",,,"414 LESSER ST OAKLAND, CA 94601-4902",414,LESSER ST,True,94601,OAKLAND,034 230401500,4.410356471633451
10624,197730,ZHANGCAI ZHEN,"ZHEN, ZHANGCAI",1522001.0,"General Contractors-residential Buildings, Other Than Single-family","3235 GALINDO ST OAKLAND, CA 94601-2507",3235,GALINDO ST,False,94601,OAKLAND,027 083902700,0.0
10625,197731,NICK HARD WOOD FLOORING,"POMARES, SELENA",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","3014 E 19TH ST OAKLAND, CA 94601-2495",3014,E 19TH ST,True,94601,OAKLAND,025 072601700,7.652985715564999
10626,197732,MATIAS GARDENER,"MATIAS, YOBEL",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","2215 34TH AVE OAKLAND, CA 94601-3110",2215,34TH AVE,False,94601,OAKLAND,027 088103100,0.0
10627,197743,SIMPLE FINANCIAL COACHING,"TAYLOR, SHEILA Y",8742001.0,Management Consulting Services,"1611 67TH AVE OAKLAND, CA 94621-3617",1611,67TH AVE,False,94621,OAKLAND,039 325303100,6.06760275142707
10628,197748,TAQUERIA EL TIO JUAN,"GARIBAY, JUAN",,,"3731 INTERNATIONAL BLVD OAKLAND, CA 94601-3525",3731,INTERNATIONAL BLVD,False,94601,OAKLAND,033 215800200,12.462050164310998
10629,197765,BROWN TERRI L,"BROWN, TERRI L",6513001.0,Operators Of Apartment Buildings,"1217 78TH AVE OAKLAND, CA 94621-2603",1217,78TH AVE,False,94621,OAKLAND,041 419502401,0.0
10630,197771,BAY AREA COMMUNITY BENEFIT ORGANIZATION,"JENNINGS, LJ",8399001.0,"Social Services, Not Elsewhere Classified","1406 SEMINARY AVE OAKLAND, CA 94621-4210",1406,SEMINARY AVE,True,94621,OAKLAND,038 322002101,13.482652022182501
10631,197776,RJ DELIVERY,"AUGUSTIN, ROGER",4215001.0,"Courier Services, Except By Air","4633 TYRRELL ST OAKLAND, CA 94601-4744",4633,TYRRELL ST,False,94601,OAKLAND,036 241400900,0.0
10632,197780,MARTIN'S BAY AREA CONSTRUCTION,"MARTIN, IGNACIO",,,"2785 GARDEN ST OAKLAND, CA 94601-1313",2785,GARDEN ST,False,94601,OAKLAND,026 081400400,0.0
10633,197802,BAEZA C M R,"BAEZA, JUAN C",,,"2841 E 23RD ST OAKLAND, CA 94601-2509",2841,E 23RD ST,False,94601,OAKLAND,026 075002100,0.0
10634,197804,PRINCESS & QUEEN PARTY & BRIDAL WEAR,"SOLIS, PATRICIA",,,"3240 INTERNATIONAL BLVD OAKLAND, CA 94601-2904",3240,INTERNATIONAL BLVD,True,94601,OAKLAND,033 212300200,6.65520415717115
10635,197811,CANDY CLEANING SERVICES,"MARTINEZ CEJA, MARIA C",7349001.0,"Building Cleaning And Maintenance Services, Not Elsewhere Classified","641 S ELMHURST AVE OAKLAND, CA 94603-2230",641,S ELMHURST AVE,False,94603,OAKLAND,044 501400307,0.0
10636,197833,EVER COMPASSION LLC,"TAN, QING",,,"1937 26TH AVE OAKLAND, CA 94601-1765",1937,26TH AVE,False,94601,OAKLAND,026 073700400,0.0
10637,197869,VOYAGE INTERNATIONAL TRAVEL INC,"LAO, JINHUA",,,"9501 EMPIRE RD OAKLAND, CA 94603-1045",9501,EMPIRE RD,False,94603,OAKLAND,044 507100600,7.84877823240039
10638,197875,FRUITVALE SHIPPING CENTER,"ARGUETA, CARLOS",4783003.0,Packing Goods For Shipping,"1467 FRUITVALE AVE OAKLAND, CA 94601-2320",1467,FRUITVALE AVE,False,94601,OAKLAND,025 071800402,8.344514046103589
10639,197883,GREAT WINDOW WASHING,"ALDERETE, MARIO D",7349001.0,"Building Cleaning And Maintenance Services, Not Elsewhere Classified","1077 98TH AVE OAKLAND, CA 94603-2330",1077,98TH AVE,False,94603,OAKLAND,044 497901902,11.3915016034077
10640,197890,MAPP VICTORIA,"MAPP, VICTORIA",,,"327 GHORMLEY AVE OAKLAND, CA 94603-2127",327,GHORMLEY AVE,False,94603,OAKLAND,045 531101300,0.5744746418236469
10641,197897,A & R MARKET,"ALHAITHANI, ALI M",5411001.0,Grocery Stores,"3615 FOOTHILL BLVD OAKLAND, CA 94601-3627",3615,FOOTHILL BLVD,False,94601,OAKLAND,033 213400201,5.159486374077519
10642,197915,MARIA BEAUTY SALON,"GUTIERREZ, MARIA E",7231001.0,Beauty Shops,"1210 FRUITVALE AVE OAKLAND, CA 94601-2926",1210,FRUITVALE AVE,True,94601,OAKLAND,033 219402800,5.02304069125884
10643,197942,LAY Z ATHLETIC WEAR,"CROCKETT, RICKISHIA",,,"5211 FOOTHILL BLVD OAKLAND, CA 94601-5430",5211,FOOTHILL BLVD,False,94601,OAKLAND,035 238804100,7.59838516568363
10644,197944,MANUKA D HARRIS SR CATERING & PARTY SOLUTIONS,"HARRIS, MANUKA D",,,"148 LOUVAINE AVE OAKLAND, CA 94603-2046",148,LOUVAINE AVE,True,94603,OAKLAND,045 531402200,6.747688451707099
10645,197962,NGUYEN KELLY N & LE ALVIN V,"NGUYEN, KELLY N",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"904 35TH AVE OAKLAND, CA 94601-3422",904,35TH AVE,True,94601,OAKLAND,033 218901400,1.24970617090889
10646,197984,MV BUILDER,"VALENCIA, MARIO",1541001.0,General Contractors-industrial Buildings And Warehouses,"1330 82ND AVE 2 OAKLAND, CA 94621-2470",1330,82ND AVE,True,94621,OAKLAND,042 424903200,10.0567234328985
10647,197989,CARPET GIGS,"WILSON, KHALID",,,"1480 73RD AVE OAKLAND, CA 94621-2808",1480,73RD AVE,True,94621,OAKLAND,040 331704811,0.458718033574195
10648,197990,BLAIR ESTHETICIANS,"BLAIR, PARRISH",,,"2648 INTERNATIONAL BLVD 102 OAKLAND, CA 94601-1567",2648,INTERNATIONAL BLVD,True,94601,OAKLAND,025 074401000,3.64712062330149
10649,198009,CALIFORNIA CHARTER BUS & TOURS,"BERGER, MATTHEW",4725001.0,Tour Operators,"4911 COLISEUM WAY OAKLAND, CA 94601-5011",4911,COLISEUM WAY,False,94601,OAKLAND,034 229000602,1.33859992115474
10650,198015,BROOKS & JOHNSON TRUCKING,"JOHNSON JR, ERIC A",4212001.0,Local Trucking Without Storage,"650 85TH AVE OAKLAND, CA 94621-1223",650,85TH AVE,True,94621,OAKLAND,042 431803001,9.34661047939251
10651,198020,VANQUISH ENVIRONMENTAL & ENGINEERING,"NORGREN, SCOTT",8748001.0,"Business Consulting Services, Not Elsewhere Classified","2910 FORD ST STE D OAKLAND, CA 94601-2821",2910,FORD ST,True,94601,OAKLAND,025 067200100,6.31954017833341
10652,198034,R & F COMPANY,"HUANG, WO H",,,"5901 SAN LEANDRO ST OAKLAND, CA 94621-4419",5901,SAN LEANDRO ST,False,94621,OAKLAND,041 391400903,0.0
